,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 44
0,2013-12-01,AA,19805,AA,N5EAAA,139,13303,1330303,32467,MIA,"Miami, FL",12892,1289203,32575,LAX,"Los Angeles, CA",1235,1230.0,-5.0,-1.0,1200-1259,15.0,1245.0,1510.0,9.0,1530,1519.0,-11.0,-1.0,1500-1559,0.0,,0.0,355.0,349.0,325.0,1.0,2342.0,10,,,,,,
1,2013-12-01,AA,19805,AA,N390AA,281,13303,1330303,32467,MIA,"Miami, FL",12892,1289203,32575,LAX,"Los Angeles, CA",1600,1606.0,6.0,0.0,1600-1659,28.0,1634.0,1915.0,18.0,1855,1933.0,38.0,2.0,1800-1859,0.0,,0.0,355.0,387.0,341.0,1.0,2342.0,10,6.0,0.0,32.0,0.0,0.0,
2,2013-12-01,AA,19805,AA,N5ECAA,287,13303,1330303,32467,MIA,"Miami, FL",12892,1289203,32575,LAX,"Los Angeles, CA",1345,1346.0,1.0,0.0,1300-1359,10.0,1356.0,1636.0,5.0,1640,1641.0,1.0,0.0,1600-1659,0.0,,0.0,355.0,355.0,340.0,1.0,2342.0,10,,,,,,
3,2013-12-01,AA,19805,AA,N7BJAA,295,13303,1330303,32467,MIA,"Miami, FL",12892,1289203,32575,LAX,"Los Angeles, CA",840,857.0,17.0,1.0,0800-0859,14.0,911.0,1115.0,14.0,1125,1129.0,4.0,0.0,1100-1159,0.0,,0.0,345.0,332.0,304.0,1.0,2342.0,10,,,,,,
4,2013-12-01,AA,19805,AA,N624AA,231,13303,1330303,32467,MIA,"Miami, FL",12892,1289203,32575,LAX,"Los Angeles, CA",1730,1752.0,22.0,1.0,1700-1759,24.0,1816.0,2044.0,3.0,2030,2047.0,17.0,1.0,2000-2059,0.0,,0.0,360.0,355.0,328.0,1.0,2342.0,10,17.0,0.0,0.0,0.0,0.0,
5,2013-12-01,AA,19805,AA,N7AXAA,299,13303,1330303,32467,MIA,"Miami, FL",12892,1289203,32575,LAX,"Los Angeles, CA",1025,1114.0,49.0,3.0,1000-1059,19.0,1133.0,1406.0,9.0,1315,1415.0,60.0,4.0,1300-1359,0.0,,0.0,350.0,361.0,333.0,1.0,2342.0,10,49.0,0.0,11.0,0.0,0.0,
6,2013-12-01,AA,19805,AA,N5DMAA,1048,13303,1330303,32467,MIA,"Miami, FL",12478,1247802,31703,JFK,"New York, NY",1555,1556.0,1.0,0.0,1500-1559,25.0,1621.0,1854.0,11.0,1900,1905.0,5.0,0.0,1900-1959,0.0,,0.0,185.0,189.0,153.0,1.0,1089.0,5,,,,,,
7,2013-12-01,AA,19805,AA,N3JTAA,1133,13303,1330303,32467,MIA,"Miami, FL",12953,1295302,31703,LGA,"New York, NY",800,808.0,8.0,0.0,0800-0859,13.0,821.0,1055.0,3.0,1055,1058.0,3.0,0.0,1000-1059,0.0,,0.0,175.0,170.0,154.0,1.0,1096.0,5,,,,,,
8,2013-12-01,AA,19805,AA,N3CKAA,1073,13303,1330303,32467,MIA,"Miami, FL",12953,1295302,31703,LGA,"New York, NY",1915,1928.0,13.0,0.0,1900-1959,21.0,1949.0,2225.0,7.0,2210,2232.0,22.0,1.0,2200-2259,0.0,,0.0,175.0,184.0,156.0,1.0,1096.0,5,0.0,0.0,15.0,0.0,7.0,
9,2013-12-01,AA,19805,AA,N3EBAA,1084,13303,1330303,32467,MIA,"Miami, FL",12953,1295302,31703,LGA,"New York, NY",600,555.0,-5.0,-1.0,0600-0659,18.0,613.0,841.0,3.0,850,844.0,-6.0,-1.0,0800-0859,0.0,,0.0,170.0,169.0,148.0,1.0,1096.0,5,,,,,,
