,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 44
352,2018-12-01,AA,19805,AA,N117AN,1,12478,1247805,31703,JFK,"New York, NY",12892,1289208,32575,LAX,"Los Angeles, CA",800,756.0,-4.0,-1.0,0800-0859,19.0,815.0,1059.0,6.0,1131,1105.0,-26.0,-2.0,1100-1159,0.0,,0.0,391.0,369.0,344.0,1.0,2475.0,10,,,,,,
354,2018-12-01,AA,19805,AA,N114NN,3,12478,1247805,31703,JFK,"New York, NY",12892,1289208,32575,LAX,"Los Angeles, CA",1200,1154.0,-6.0,-1.0,1200-1259,16.0,1210.0,1442.0,15.0,1516,1457.0,-19.0,-2.0,1500-1559,0.0,,0.0,376.0,363.0,332.0,1.0,2475.0,10,,,,,,
367,2018-12-01,AA,19805,AA,N106NN,117,12478,1247805,31703,JFK,"New York, NY",12892,1289208,32575,LAX,"Los Angeles, CA",1530,1528.0,-2.0,-1.0,1500-1559,22.0,1550.0,1830.0,13.0,1858,1843.0,-15.0,-1.0,1800-1859,0.0,,0.0,388.0,375.0,340.0,1.0,2475.0,10,,,,,,
374,2018-12-01,AA,19805,AA,N343AN,243,12478,1247805,31703,JFK,"New York, NY",13303,1330303,32467,MIA,"Miami, FL",1530,1527.0,-3.0,-1.0,1500-1559,19.0,1546.0,1819.0,81.0,1854,1940.0,46.0,3.0,1800-1859,0.0,,0.0,204.0,253.0,153.0,1.0,1089.0,5,0.0,0.0,46.0,0.0,0.0,
375,2018-12-01,AA,19805,AA,N102NN,255,12478,1247805,31703,JFK,"New York, NY",12892,1289208,32575,LAX,"Los Angeles, CA",1000,953.0,-7.0,-1.0,1000-1059,39.0,1032.0,1322.0,7.0,1318,1329.0,11.0,0.0,1300-1359,0.0,,0.0,378.0,396.0,350.0,1.0,2475.0,10,,,,,,
382,2018-12-01,AA,19805,AA,N105NN,300,12478,1247805,31703,JFK,"New York, NY",12892,1289208,32575,LAX,"Los Angeles, CA",2000,1957.0,-3.0,-1.0,2000-2059,42.0,2039.0,2318.0,39.0,2341,2357.0,16.0,1.0,2300-2359,0.0,,0.0,401.0,420.0,339.0,1.0,2475.0,10,0.0,0.0,16.0,0.0,0.0,
383,2018-12-01,AA,19805,AA,N103NN,302,12478,1247805,31703,JFK,"New York, NY",12892,1289208,32575,LAX,"Los Angeles, CA",1800,1752.0,-8.0,-1.0,1800-1859,16.0,1808.0,2038.0,6.0,2130,2044.0,-46.0,-2.0,2100-2159,0.0,,0.0,390.0,352.0,330.0,1.0,2475.0,10,,,,,,
384,2018-12-01,AA,19805,AA,N814NN,332,12953,1295304,31703,LGA,"New York, NY",13303,1330303,32467,MIA,"Miami, FL",1215,1214.0,-1.0,-1.0,1200-1259,16.0,1230.0,1501.0,6.0,1532,1507.0,-25.0,-2.0,1500-1559,0.0,,0.0,197.0,173.0,151.0,1.0,1096.0,5,,,,,,
388,2018-12-01,AA,19805,AA,N101NN,341,12478,1247805,31703,JFK,"New York, NY",12892,1289208,32575,LAX,"Los Angeles, CA",1430,1427.0,-3.0,-1.0,1400-1459,12.0,1439.0,1713.0,6.0,1745,1719.0,-26.0,-2.0,1700-1759,0.0,,0.0,375.0,352.0,334.0,1.0,2475.0,10,,,,,,
398,2018-12-01,AA,19805,AA,N183AN,1386,12478,1247805,31703,JFK,"New York, NY",13303,1330303,32467,MIA,"Miami, FL",1315,1312.0,-3.0,-1.0,1300-1359,36.0,1348.0,1638.0,21.0,1628,1659.0,31.0,2.0,1600-1659,0.0,,0.0,193.0,227.0,170.0,1.0,1089.0,5,0.0,0.0,31.0,0.0,0.0,
400,2018-12-01,AA,19805,AA,N314RH,1389,12953,1295304,31703,LGA,"New York, NY",13303,1330303,32467,MIA,"Miami, FL",1728,1720.0,-8.0,-1.0,1700-1759,15.0,1735.0,2005.0,6.0,2049,2011.0,-38.0,-2.0,2000-2059,0.0,,0.0,201.0,171.0,150.0,1.0,1096.0,5,,,,,,
658,2018-12-01,F9,20436,F9,N201FR,1597,12953,1295304,31703,LGA,"New York, NY",13303,1330303,32467,MIA,"Miami, FL",2250,2248.0,-2.0,-1.0,2200-2259,13.0,2301.0,135.0,10.0,155,145.0,-10.0,-1.0,0001-0559,0.0,,0.0,185.0,177.0,154.0,1.0,1096.0,5,,,,,,
761,2018-12-01,AA,19805,AA,N310RF,970,12953,1295304,31703,LGA,"New York, NY",13303,1330303,32467,MIA,"Miami, FL",829,824.0,-5.0,-1.0,0800-0859,14.0,838.0,1112.0,13.0,1148,1125.0,-23.0,-2.0,1100-1159,0.0,,0.0,199.0,181.0,154.0,1.0,1096.0,5,,,,,,
790,2018-12-01,AS,19930,AS,N487AS,420,12478,1247805,31703,JFK,"New York, NY",12892,1289208,32575,LAX,"Los Angeles, CA",710,706.0,-4.0,-1.0,0700-0759,21.0,727.0,1003.0,17.0,1036,1020.0,-16.0,-2.0,1000-1059,0.0,,0.0,386.0,374.0,336.0,1.0,2475.0,10,,,,,,
805,2018-12-01,AS,19930,AS,N631VA,1407,12478,1247805,31703,JFK,"New York, NY",12892,1289208,32575,LAX,"Los Angeles, CA",900,850.0,-10.0,-1.0,0900-0959,24.0,914.0,1143.0,9.0,1226,1152.0,-34.0,-2.0,1200-1259,0.0,,0.0,386.0,362.0,329.0,1.0,2475.0,10,,,,,,
